regiao,estado,municipio,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Nordeste,MA,,2021-01-01,7075181.0,200959.0,21,4506,6
Nordeste,SE,,2021-01-01,2298696.0,113544.0,1039,2492,8
Nordeste,CE,,2021-01-01,9132078.0,335992.0,901,9993,3
Nordeste,RN,,2021-01-01,3506853.0,118353.0,270,2993,0
Nordeste,AL,,2021-01-01,3337357.0,105091.0,273,2496,7
Nordeste,BA,,2021-01-01,14873064.0,494684.0,1284,9159,30
Nordeste,PB,,2021-01-01,4018127.0,167062.0,578,3680,8
Nordeste,PE,,2021-01-01,9557071.0,222993.0,827,9666,12
Nordeste,PI,,2021-01-01,3273227.0,143179.0,507,2840,3
Nordeste,AL,,2021-01-02,3337357.0,105361.0,270,2502,6
Nordeste,PE,,2021-01-02,9557071.0,223325.0,332,9674,8
Nordeste,RN,,2021-01-02,3506853.0,118691.0,338,2995,2
Nordeste,SE,,2021-01-02,2298696.0,113916.0,372,2500,8
Nordeste,MA,,2021-01-02,7075181.0,200976.0,17,4513,7
Nordeste,CE,,2021-01-02,9132078.0,336574.0,582,10015,22
Nordeste,PI,,2021-01-02,3273227.0,143210.0,31,2848,8
Nordeste,PB,,2021-01-02,4018127.0,167615.0,553,3692,12
Nordeste,BA,,2021-01-02,14873064.0,495286.0,602,9187,28
Nordeste,SE,,2021-01-03,2298696.0,114685.0,769,2508,8
Nordeste,BA,,2021-01-03,14873064.0,496008.0,722,9218,31
Nordeste,PE,,2021-01-03,9557071.0,223540.0,215,9679,5
Nordeste,AL,,2021-01-03,3337357.0,105714.0,353,2509,7
Nordeste,CE,,2021-01-03,9132078.0,336763.0,189,10024,9
Nordeste,RN,,2021-01-03,3506853.0,119079.0,388,3000,5
Nordeste,PI,,2021-01-03,3273227.0,143489.0,279,2854,6
Nordeste,MA,,2021-01-03,7075181.0,201017.0,41,4518,5
Nordeste,PB,,2021-01-03,4018127.0,168044.0,429,3706,14
Nordeste,CE,,2021-01-04,9132078.0,336975.0,212,10025,1
Nordeste,SE,,2021-01-04,2298696.0,115636.0,951,2516,8
Nordeste,AL,,2021-01-04,3337357.0,106032.0,318,2515,6
Nordeste,PE,,2021-01-04,9557071.0,223845.0,305,9691,12
Nordeste,BA,,2021-01-04,14873064.0,496823.0,815,9246,28
Nordeste,RN,,2021-01-04,3506853.0,119186.0,107,3011,11
Nordeste,PI,,2021-01-04,3273227.0,143651.0,162,2856,2
Nordeste,PB,,2021-01-04,4018127.0,168179.0,135,3722,16
Nordeste,MA,,2021-01-04,7075181.0,201093.0,76,4524,6
Nordeste,BA,,2021-01-05,14873064.0,499900.0,3077,9276,30
Nordeste,PB,,2021-01-05,4018127.0,168545.0,366,3740,18
Nordeste,MA,,2021-01-05,7075181.0,201255.0,162,4531,7
Nordeste,AL,,2021-01-05,3337357.0,106410.0,378,2521,6
Nordeste,RN,,2021-01-05,3506853.0,120024.0,838,3046,35
Nordeste,CE,,2021-01-05,9132078.0,337956.0,981,10042,17
Nordeste,SE,,2021-01-05,2298696.0,116779.0,1143,2524,8
Nordeste,PI,,2021-01-05,3273227.0,144200.0,549,2863,7
Nordeste,PE,,2021-01-05,9557071.0,225336.0,1491,9709,18
Nordeste,PI,,2021-01-06,3273227.0,144857.0,657,2873,10
Nordeste,CE,,2021-01-06,9132078.0,340089.0,2133,10056,14
Nordeste,PB,,2021-01-06,4018127.0,169646.0,1101,3755,15
Nordeste,SE,,2021-01-06,2298696.0,117818.0,1039,2532,8
Nordeste,RN,,2021-01-06,3506853.0,120836.0,812,3059,13
Nordeste,BA,,2021-01-06,14873064.0,502938.0,3038,9304,28
Nordeste,AL,,2021-01-06,3337357.0,106881.0,471,2529,8
Nordeste,PE,,2021-01-06,9557071.0,226940.0,1604,9731,22
Nordeste,MA,,2021-01-06,7075181.0,201454.0,199,4537,6
Nordeste,RN,,2021-01-07,3506853.0,121439.0,603,3067,8
Nordeste,CE,,2021-01-07,9132078.0,341276.0,1187,10096,40
Nordeste,PI,,2021-01-07,3273227.0,145384.0,527,2882,9
Nordeste,PB,,2021-01-07,4018127.0,170611.0,965,3773,18
Nordeste,BA,,2021-01-07,14873064.0,505918.0,2980,9333,29
Nordeste,MA,,2021-01-07,7075181.0,201641.0,187,4542,5
Nordeste,SE,,2021-01-07,2298696.0,119045.0,1227,2544,12
Nordeste,PE,,2021-01-07,9557071.0,228451.0,1511,9763,32
Nordeste,AL,,2021-01-07,3337357.0,107279.0,398,2537,8
Nordeste,PI,,2021-01-08,3273227.0,145997.0,613,2891,9
Nordeste,RN,,2021-01-08,3506853.0,122591.0,1152,3078,11
Nordeste,PB,,2021-01-08,4018127.0,171547.0,936,3788,15
Nordeste,CE,,2021-01-08,9132078.0,342941.0,1665,10122,26
Nordeste,PE,,2021-01-08,9557071.0,229701.0,1250,9789,26
Nordeste,MA,,2021-01-08,7075181.0,201745.0,104,4549,7
Nordeste,BA,,2021-01-08,14873064.0,508695.0,2777,9364,31
Nordeste,AL,,2021-01-08,3337357.0,107628.0,349,2545,8
Nordeste,SE,,2021-01-08,2298696.0,120262.0,1217,2554,10
Nordeste,PI,,2021-01-09,3273227.0,146779.0,782,2895,4
Nordeste,AL,,2021-01-09,3337357.0,108109.0,481,2553,8
Nordeste,CE,,2021-01-09,9132078.0,343887.0,946,10137,15
Nordeste,SE,,2021-01-09,2298696.0,121222.0,960,2563,9
Nordeste,RN,,2021-01-09,3506853.0,123783.0,1192,3086,8
Nordeste,PE,,2021-01-09,9557071.0,230891.0,1190,9826,37
Nordeste,BA,,2021-01-09,14873064.0,511192.0,2497,9392,28
Nordeste,MA,,2021-01-09,7075181.0,201915.0,170,4555,6
Nordeste,PB,,2021-01-09,4018127.0,172261.0,714,3800,12
Nordeste,RN,,2021-01-10,3506853.0,124278.0,495,3090,4
Nordeste,PI,,2021-01-10,3273227.0,147038.0,259,2897,2
Nordeste,SE,,2021-01-10,2298696.0,122594.0,1372,2574,11
Nordeste,PE,,2021-01-10,9557071.0,232037.0,1146,9840,14
Nordeste,BA,,2021-01-10,14873064.0,512841.0,1649,9424,32
Nordeste,PB,,2021-01-10,4018127.0,172776.0,515,3808,8
Nordeste,CE,,2021-01-10,9132078.0,344813.0,926,10155,18
Nordeste,MA,,2021-01-10,7075181.0,201945.0,30,4562,7
Nordeste,AL,,2021-01-10,3337357.0,108542.0,433,2561,8
Nordeste,SE,,2021-01-11,2298696.0,123836.0,1242,2585,11
