estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
AL,2022-01-01,242091.0,11,6383,0
BA,2022-01-01,1271029.0,171,27507,1
CE,2022-01-01,957035.0,710,24806,0
MA,2022-01-01,370694.0,49,10377,0
PB,2022-01-01,464511.0,176,9597,1
PE,2022-01-01,645887.0,206,20454,7
PI,2022-01-01,334472.0,32,7275,0
RN,2022-01-01,387352.0,150,7572,0
SE,2022-01-01,278538.0,8,6057,0
SE,2022-02-01,295696.0,1980,6103,5
RN,2022-02-01,428630.0,2764,7739,34
PI,2022-02-01,344237.0,1223,7389,12
PE,2022-02-01,704277.0,6010,20659,16
BA,2022-02-01,1367697.0,4385,27981,37
MA,2022-02-01,387989.0,1422,10495,7
CE,2022-02-01,1131297.0,6621,25332,87
AL,2022-02-01,261715.0,3475,6446,5
PB,2022-02-01,499327.0,404,9723,7
PE,2022-03-01,833233.0,2537,21087,11
SE,2022-03-01,320577.0,99,6254,4
RN,2022-03-01,477833.0,161,8054,4
PB,2022-03-01,576160.0,984,10099,7
PI,2022-03-01,365225.0,72,7662,6
CE,2022-03-01,1227243.0,740,26321,16
MA,2022-03-01,413030.0,154,10800,10
BA,2022-03-01,1502593.0,425,29221,40
AL,2022-03-01,292217.0,678,6694,10
RN,2022-04-01,497669.0,430,8122,1
PI,2022-04-01,367701.0,31,7728,0
PE,2022-04-01,898815.0,1189,21419,8
PB,2022-04-01,597101.0,699,10194,1
SE,2022-04-01,326057.0,136,6319,2
CE,2022-04-01,1240834.0,717,26756,25
BA,2022-04-01,1533368.0,686,29718,5
AL,2022-04-01,296226.0,38,6886,2
MA,2022-04-01,425962.0,375,10873,1
SE,2022-05-01,327081.0,5,6343,0
RN,2022-05-01,503420.0,8,8175,0
PI,2022-05-01,368030.0,0,7736,0
PE,2022-05-01,923710.0,238,21604,4
PB,2022-05-01,602231.0,114,10209,0
CE,2022-05-01,1244313.0,5,26910,3
BA,2022-05-01,1542907.0,27,29856,0
AL,2022-05-01,297972.0,0,6926,0
MA,2022-05-01,432614.0,32,10884,1
PI,2022-06-01,368097.0,10,7746,0
SE,2022-06-01,327474.0,16,6348,0
RN,2022-06-01,506744.0,170,8208,6
PE,2022-06-01,938037.0,772,21727,3
PB,2022-06-01,605549.0,233,10220,0
MA,2022-06-01,438431.0,365,10889,0
CE,2022-06-01,1246443.0,93,27089,7
BA,2022-06-01,1549464.0,472,29939,1
AL,2022-06-01,299355.0,63,6936,0
RN,2022-07-01,527789.0,1310,8269,2
PI,2022-07-01,373088.0,476,7764,0
PE,2022-07-01,979346.0,2961,21870,3
PB,2022-07-01,620577.0,1975,10256,2
SE,2022-07-01,330643.0,316,6359,1
CE,2022-07-01,1267955.0,1556,27200,14
BA,2022-07-01,1580807.0,4298,30040,9
AL,2022-07-01,305805.0,557,6956,3
MA,2022-07-01,443513.0,272,10896,0
SE,2022-08-01,341137.0,78,6413,1
RN,2022-08-01,546760.0,48,8400,5
PI,2022-08-01,386755.0,-1906,7885,5
PE,2022-08-01,1029291.0,99,22049,3
PB,2022-08-01,646239.0,98,10355,2
CE,2022-08-01,1361660.0,1452,27419,4
BA,2022-08-01,1660656.0,72,30362,6
AL,2022-08-01,317943.0,27,7073,3
MA,2022-08-01,460843.0,818,10940,1
PI,2022-09-01,398193.0,419,7938,1
SE,2022-09-01,342775.0,43,6430,0
RN,2022-09-01,551773.0,70,8444,0
PE,2022-09-01,1048824.0,700,22214,7
CE,2022-09-01,1380924.0,259,27570,4
MA,2022-09-01,468943.0,166,10987,1
BA,2022-09-01,1686670.0,679,30654,11
AL,2022-09-01,320418.0,75,7117,1
PB,2022-09-01,651164.0,129,10398,0
SE,2022-10-01,342890.0,1,6436,0
RN,2022-10-01,556825.0,0,8469,0
PE,2022-10-01,1058778.0,0,22299,0
PB,2022-10-01,653083.0,17,10403,0
PI,2022-10-01,401821.0,0,7954,0
CE,2022-10-01,1384688.0,94,27685,7
BA,2022-10-01,1698098.0,405,30703,0
AL,2022-10-01,321115.0,12,7124,0
MA,2022-10-01,472105.0,0,10993,0
RN,2022-11-01,557553.0,36,8483,0
AL,2022-11-01,321561.0,3,7128,0
BA,2022-11-01,1703991.0,371,30792,1
CE,2022-11-01,1386482.0,47,28005,9
MA,2022-11-01,474700.0,4,10996,0
PB,2022-11-01,654376.0,6,10406,0
PE,2022-11-01,1065225.0,296,22410,4
PI,2022-11-01,404893.0,413,7959,0
SE,2022-11-01,342914.0,0,6441,0
